quotes,authors
I don't know why people don't feel like being positive is much more powerful than being negative.,Shonda Rhimes
"My father was an absolutely wonderful human being. From him I learned to always assume positive intent. Whatever anybody says or does, assume positive intent.",Indra Nooyi
"Whether it's positive or negative press, it's all good. I do understand the game.",Lisa Lopes
President Obama has basically avoided or not done any attempt to intervene in any positive way in the housing market. I think in the financial crisis that's been a shame.,Glenn Hubbard
I think that politics could be a positive thing. My beef is that people focus on the personal aspect of a politician too much. They should focus on the results.,LL Cool J
"We've never been political, and our fans like us that way. Music is supposed to be fun. But we do drop a positive message.",Pepa
"The biggest thing that I've noticed since the move to Barcelona was announced is just how positive the comments have been. It was not just in the mainstream media, but also on social media.",Toni Duggan
"Peter Ustinov was the first really positive influence in my career. He was real and he bore witness to it. The things he said to you, he lived them.",Terence Stamp
I always try to set a positive example for my generation and promote confidence.,Keke Palmer
"When I first ran, being a woman in politics was seen as both a negative and also a positive. You could attract more women voters, but on the other hand, a lot of men wouldn't vote for you.",Tammy Duckworth
Being able to jump off a swing is actually a useful and meaningful thing for a child to do... those are the tests that help us understand the limits of our body. That's a positive learning experience that we deny children on a regular basis.,Gever Tulley
